Name,Stars,Title,Description
Anmol Arora,5.0,Excellent,I am iphone user and I previously thought that iphone was the king of smartphone industryBut wait now Samsung changed everything very excellent smartphoneSuper smooth experience
Placeholder,5.0,AI is awesome features,everything is perfect till now purchased one month ago
Rohan pardeshi,5.0,Best SmartPhone Ever,Samsung Made a Beast.
sahil sk,5.0,Bikar fone hain,"Ekdum bekkar fone hain,  call par baat karte time mobile  ka light bhaag jatta hain, koi maat lo main faas giya hu, aap log koi fassna maat"
Prashant Ganorkar,5.0,Photo quality and  video quality is good & AI features are the best,Praently there is no dislike
Amazon Customer,5.0,Very nice camera and battery backup is good,"Compare with other mobiles hood display, best camera, best s pen option and best battery performance. Everything very good. I used only for my business purpose and social media purpose ."
Santanu mondal,5.0,Nice camera 📷 👌,Very good Display
Vijay.prasad111,5.0,Worth spending money 💰,Wonderful product 👌.. Camera is Wonderful..AI is worilking wonderfully... Battery life is aslo very good 👍..
Sunitha Karuna Sagar,5.0,No nonsense phone,Buttery smooth phone. Best phone.. Beast phone..
rajireddy,5.0,This god no issue,Product is no issues charging is fast ihave satisfied this product
Anmol Arora,5.0,Excellent,I am iphone user and I previously thought that iphone was the king of smartphone industryBut wait now Samsung changed everything very excellent smartphoneSuper smooth experience
Placeholder,5.0,AI is awesome features,everything is perfect till now purchased one month ago
Rohan pardeshi,5.0,Best SmartPhone Ever,Samsung Made a Beast.
sahil sk,5.0,Bikar fone hain,"Ekdum bekkar fone hain,  call par baat karte time mobile  ka light bhaag jatta hain, koi maat lo main faas giya hu, aap log koi fassna maat"
Prashant Ganorkar,5.0,Photo quality and  video quality is good & AI features are the best,Praently there is no dislike
Amazon Customer,5.0,Very nice camera and battery backup is good,"Compare with other mobiles hood display, best camera, best s pen option and best battery performance. Everything very good. I used only for my business purpose and social media purpose ."
Santanu mondal,5.0,Nice camera 📷 👌,Very good Display
Vijay.prasad111,5.0,Worth spending money 💰,Wonderful product 👌.. Camera is Wonderful..AI is worilking wonderfully... Battery life is aslo very good 👍..
Sunitha Karuna Sagar,5.0,No nonsense phone,Buttery smooth phone. Best phone.. Beast phone..
rajireddy,5.0,This god no issue,Product is no issues charging is fast ihave satisfied this product
Anmol Arora,5.0,Excellent,I am iphone user and I previously thought that iphone was the king of smartphone industryBut wait now Samsung changed everything very excellent smartphoneSuper smooth experience
Placeholder,5.0,AI is awesome features,everything is perfect till now purchased one month ago
Rohan pardeshi,5.0,Best SmartPhone Ever,Samsung Made a Beast.
sahil sk,5.0,Bikar fone hain,"Ekdum bekkar fone hain,  call par baat karte time mobile  ka light bhaag jatta hain, koi maat lo main faas giya hu, aap log koi fassna maat"
Prashant Ganorkar,5.0,Photo quality and  video quality is good & AI features are the best,Praently there is no dislike
Amazon Customer,5.0,Very nice camera and battery backup is good,"Compare with other mobiles hood display, best camera, best s pen option and best battery performance. Everything very good. I used only for my business purpose and social media purpose ."
Santanu mondal,5.0,Nice camera 📷 👌,Very good Display
Vijay.prasad111,5.0,Worth spending money 💰,Wonderful product 👌.. Camera is Wonderful..AI is worilking wonderfully... Battery life is aslo very good 👍..
Sunitha Karuna Sagar,5.0,No nonsense phone,Buttery smooth phone. Best phone.. Beast phone..
rajireddy,5.0,This god no issue,Product is no issues charging is fast ihave satisfied this product
Anmol Arora,5.0,Excellent,I am iphone user and I previously thought that iphone was the king of smartphone industryBut wait now Samsung changed everything very excellent smartphoneSuper smooth experience
Placeholder,5.0,AI is awesome features,everything is perfect till now purchased one month ago
Rohan pardeshi,5.0,Best SmartPhone Ever,Samsung Made a Beast.
sahil sk,5.0,Bikar fone hain,"Ekdum bekkar fone hain,  call par baat karte time mobile  ka light bhaag jatta hain, koi maat lo main faas giya hu, aap log koi fassna maat"
Prashant Ganorkar,5.0,Photo quality and  video quality is good & AI features are the best,Praently there is no dislike
Amazon Customer,5.0,Very nice camera and battery backup is good,"Compare with other mobiles hood display, best camera, best s pen option and best battery performance. Everything very good. I used only for my business purpose and social media purpose ."
Santanu mondal,5.0,Nice camera 📷 👌,Very good Display
Vijay.prasad111,5.0,Worth spending money 💰,Wonderful product 👌.. Camera is Wonderful..AI is worilking wonderfully... Battery life is aslo very good 👍..
Sunitha Karuna Sagar,5.0,No nonsense phone,Buttery smooth phone. Best phone.. Beast phone..
rajireddy,5.0,This god no issue,Product is no issues charging is fast ihave satisfied this product
Anmol Arora,5.0,Excellent,I am iphone user and I previously thought that iphone was the king of smartphone industryBut wait now Samsung changed everything very excellent smartphoneSuper smooth experience
Placeholder,5.0,AI is awesome features,everything is perfect till now purchased one month ago
Rohan pardeshi,5.0,Best SmartPhone Ever,Samsung Made a Beast.
sahil sk,5.0,Bikar fone hain,"Ekdum bekkar fone hain,  call par baat karte time mobile  ka light bhaag jatta hain, koi maat lo main faas giya hu, aap log koi fassna maat"
Prashant Ganorkar,5.0,Photo quality and  video quality is good & AI features are the best,Praently there is no dislike
Amazon Customer,5.0,Very nice camera and battery backup is good,"Compare with other mobiles hood display, best camera, best s pen option and best battery performance. Everything very good. I used only for my business purpose and social media purpose ."
Santanu mondal,5.0,Nice camera 📷 👌,Very good Display
Vijay.prasad111,5.0,Worth spending money 💰,Wonderful product 👌.. Camera is Wonderful..AI is worilking wonderfully... Battery life is aslo very good 👍..
Sunitha Karuna Sagar,5.0,No nonsense phone,Buttery smooth phone. Best phone.. Beast phone..
rajireddy,5.0,This god no issue,Product is no issues charging is fast ihave satisfied this product
Anmol Arora,5.0,Excellent,I am iphone user and I previously thought that iphone was the king of smartphone industryBut wait now Samsung changed everything very excellent smartphoneSuper smooth experience
Placeholder,5.0,AI is awesome features,everything is perfect till now purchased one month ago
Rohan pardeshi,5.0,Best SmartPhone Ever,Samsung Made a Beast.
sahil sk,5.0,Bikar fone hain,"Ekdum bekkar fone hain,  call par baat karte time mobile  ka light bhaag jatta hain, koi maat lo main faas giya hu, aap log koi fassna maat"
Prashant Ganorkar,5.0,Photo quality and  video quality is good & AI features are the best,Praently there is no dislike
